Time:512Hz,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Classification
0.20703125,1145628032.0,1145628032.0,1145657472.0,1165399552.0,1145657472.0,1165775616.0,1145630208.0,1161777792.0,1145632256.0,1145657472.0,1161992064.0,1145628032.0,1145628032.0,1145630208.0,right
0.208984375,1161753088.0,1145630208.0,1145657472.0,1161947392.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165394816.0,1145657472.0,1165767168.0,1145632256.0,right
0.2109375,1145628032.0,1145628032.0,1145657472.0,1165390720.0,1145657472.0,1165766656.0,1145630208.0,1161572992.0,1145632256.0,1145657472.0,1161787264.0,1145628032.0,1145628032.0,1145630208.0,right
0.212890625,1161478400.0,1145630208.0,1145657472.0,1161712640.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165386496.0,1145657472.0,1165781888.0,1145630208.0,right
0.21484375,1145628032.0,1145628032.0,1145657472.0,1165377024.0,1145657472.0,1165784448.0,1145632256.0,1161412864.0,1145630208.0,1145657472.0,1161604480.0,1145628032.0,1145628032.0,1145630208.0,right
0.216796875,1161364992.0,1145630208.0,1145657472.0,1161546752.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165340288.0,1145657472.0,1165771904.0,1145630208.0,right
0.21875,1145628032.0,1145628032.0,1145657472.0,1165330304.0,1145657472.0,1165772416.0,1145632256.0,1161400192.0,1145630208.0,1145657472.0,1161549824.0,1145628032.0,1145628032.0,1145630208.0,right
0.220703125,1161433856.0,1145632256.0,1145657472.0,1161589760.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165328128.0,1145657472.0,1165773952.0,1145632256.0,right
0.22265625,1145628032.0,1145628032.0,1145657472.0,1165327616.0,1145657472.0,1165765632.0,1145632256.0,1161215872.0,1145630208.0,1145657472.0,1161582464.0,1145628032.0,1145628032.0,1145630208.0,right
0.224609375,1161123456.0,1145632256.0,1145657472.0,1161587712.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165321856.0,1145657472.0,1165750912.0,1145632256.0,right
0.2265625,1145628032.0,1145628032.0,1145657472.0,1165314048.0,1145657472.0,1165747200.0,1145630208.0,1161211648.0,1145632256.0,1145657472.0,1161692160.0,1145628032.0,1145628032.0,1145630208.0,right
0.228515625,1161209088.0,1145630208.0,1145657472.0,1161719552.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165304576.0,1145657472.0,1165745664.0,1145632256.0,right
0.23046875,1145628032.0,1145628032.0,1145657472.0,1165310848.0,1145657472.0,1165750912.0,1145630208.0,1161058944.0,1145632256.0,1145657472.0,1161687424.0,1145628032.0,1145628032.0,1145630208.0,right
0.232421875,1161065728.0,1145630208.0,1145657472.0,1161698432.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165320832.0,1145657472.0,1165745152.0,1145630208.0,right
0.234375,1145628032.0,1145628032.0,1145657472.0,1165319808.0,1145657472.0,1165734656.0,1145632256.0,1161174400.0,1145630208.0,1145657472.0,1161768832.0,1145628032.0,1145628032.0,1145630208.0,right
0.236328125,1161204352.0,1145630208.0,1145657472.0,1161792512.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165324544.0,1145657472.0,1165734656.0,1145630208.0,right
0.23828125,1145628032.0,1145628032.0,1145657472.0,1165326080.0,1145657472.0,1165738240.0,1145632256.0,1161261056.0,1145630208.0,1145657472.0,1161852928.0,1145628032.0,1145628032.0,1145630208.0,right
0.240234375,1161249024.0,1145632256.0,1145657472.0,1161865472.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165316608.0,1145657472.0,1165739392.0,1145632256.0,right
0.2421875,1145628032.0,1145628032.0,1145657472.0,1165310336.0,1145657472.0,1165741440.0,1145632256.0,1161230080.0,1145630208.0,1145657472.0,1161839232.0,1145628032.0,1145628032.0,1145630208.0,right
0.244140625,1161289472.0,1145632256.0,1145657472.0,1161855488.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165302912.0,1145657472.0,1165731456.0,1145632256.0,right
